NC_000866|Enterobacteria phage T4|
NP_049616.1|0|
NP_049617.1|0|
NP_049618.1|0|
NP_049619.1|0|
NP_049620.1|0|
NP_049621.1|0|
NP_049622.1|0|
NP_049623.1|0|
NP_049624.1|0|
NP_049625.1|0|
NP_049626.1|0|
NP_049627.1|0|
NP_049628.1|0|
NP_049629.1|0|
NP_049630.1|0|
NP_049631.1|0|
NP_049632.1|0|
NP_049633.1|0|
NP_049634.1|0|
NP_049635.1|0|
NP_049636.1|0|
NP_049637.1|0|
NP_049638.1|0|
NP_049639.1|0|
NP_049640.1|0|
NP_049641.1|0|
NP_049642.1|0|
NP_049643.1|0|
NP_049644.1|0|
NP_049645.1|0|
NP_049646.1|0|
NP_049647.1|0|
NP_049648.1|0|
NP_049649.1|0|
NP_049650.1|0|
NP_049651.1|0|
NP_049652.1|0|
NP_049653.1|0|
NP_049654.1|1|
NP_049655.1|0|
NP_049656.2|7|
NP_049657.1|0|
NP_049658.1|0|
NP_049659.1|2|
NP_049660.1|0|
NP_049661.1|0|
NP_049662.1|1|
NP_049663.1|1|
NP_049664.1|0|
NP_049665.1|1|
NP_049666.1|1|
NP_049667.1|0|
NP_049668.1|0|
NP_049669.1|0|
NP_049670.1|0|
NP_049671.1|0|
NP_049672.1|0|
NP_049673.1|1|
NP_049674.1|1|
NP_049675.1|0|
NP_049676.1|0|
NP_049677.1|0|
NP_049678.1|0|
NP_049679.1|0|
NP_049680.1|0|
NP_049681.1|0|
NP_049682.1|0|
NP_049683.1|0|
NP_049684.1|0|
NP_049685.1|0|
NP_049686.1|0|
NP_049687.1|0|
NP_049688.1|0|
NP_049689.1|0|
NP_049690.1|1|
NP_049691.2|0|
NP_049692.1|0|
NP_049693.2|0|
NP_049694.1|0|
NP_049695.1|0|
NP_049696.1|0|
NP_049697.1|0|
NP_049698.1|0|
NP_049699.1|0|
NP_049700.1|0|
NP_049701.1|0|
NP_049702.1|0|
NP_049703.1|0|
NP_049704.1|0|
NP_049705.1|0|
NP_049706.1|0|
NP_049707.1|0|
NP_049708.1|0|
NP_049709.1|0|
NP_049710.1|0|
NP_049711.1|0|
NP_049712.1|0|
NP_049713.1|0|
NP_049714.1|0|
NP_049715.1|0|
NP_049716.1|0|
NP_049717.1|0|
NP_049718.1|0|
NP_049719.1|0|
NP_049720.1|0|
NP_049721.1|0|
NP_049722.1|0|
NP_049723.1|0|
NP_049724.1|0|
NP_049725.1|0|
NP_049726.1|0|
NP_049727.1|0|
NP_049728.1|0|
NP_049729.1|0|
NP_049730.1|1|
NP_049731.1|0|
NP_049732.1|0|
NP_049733.1|0|
NP_049734.1|0|
NP_049735.1|0|
NP_049736.1|0|
NP_049737.1|0|
NP_049738.1|0|
NP_049739.1|0|
NP_049740.1|0|
NP_049741.1|0|
NP_049742.1|0|
NP_049743.1|0|
NP_049744.1|0|
NP_049745.2|1|
NP_049746.1|0|
NP_049747.1|0|
NP_049748.1|0|
NP_049749.1|0|
NP_049750.1|0|
NP_049751.1|0|
NP_049752.1|0|
NP_049753.1|0|
NP_049754.1|0|
NP_049755.1|0|
NP_049756.1|0|
NP_049757.1|1|
NP_049758.1|0|
NP_049759.1|0|
NP_049760.1|0|
NP_049761.1|1|
NP_049762.1|0|
NP_049763.1|0|
NP_049764.1|1|
NP_049765.1|0|
NP_049766.1|0|
NP_049767.1|0|
NP_049768.1|0|
